Trial_ID;ARM_ID;DV;NAME;UNIT;MEASURE;NSUB;VARTYPE;LOWER;UPPER;SOURCE;
CART_001;CART_001_1;54;Age;y;median;4;range;49;69;Table 1;
CART_001;CART_001_2;61;Age;y;median;70;range;33;76;Table 1;
CART_001;CART_001_3;62;Age;y;median;54;range;43;78;Table 1;
CART_001;CART_001_1;4;Male;N;N;4;;;;Table 1;
CART_001;CART_001_2;38;Male;N;N;70;;;;Table 1;
CART_001;CART_001_3;34;Male;N;N;54;;;;Table 1;
CART_001;CART_001_1;10;Time since diagnosis;y;median;4;range;6;12;Table 1;
CART_001;CART_001_2;7;Time since diagnosis;y;median;70;range;2;18;Table 1;
CART_001;CART_001_3;6;Time since diagnosis;y;median;54;range;1;17;Table 1;
CART_001;CART_001_1;0;Extramedullary disease, yes;N;N;4;;;;Table 1;
CART_001;CART_001_2;34;Extramedullary disease, yes;N;N;70;;;;Table 1;
CART_001;CART_001_3;16;Extramedullary disease, yes;N;N;54;;;;Table 1;
CART_001;CART_001_1;3;High tumor burden, yes;N;N;4;;;;Table 1;
CART_001;CART_001_2;34;High tumor burden, yes;N;N;70;;;;Table 1;
CART_001;CART_001_3;28;High tumor burden, yes;N;N;54;;;;Table 1;
CART_001;CART_001_1;100;Previous autologous HSCT, yes;%;N;4;;;;Table 1;
CART_001;CART_001_2;96;Previous autologous HSCT, yes;%;N;70;;;;Table 1;
CART_001;CART_001_3;91;Previous autologous HSCT, yes;%;N;54;;;;Table 1;
CART_001;CART_001_1;3;ECOG performance‐status score 0;N;N;4;;;;Table 1;
CART_001;CART_001_2;31;ECOG performance‐status score 0;N;N;70;;;;Table 1;
CART_001;CART_001_3;23;ECOG performance‐status score 0;N;N;54;;;;Table 1;
CART_001;CART_001_1;1;ECOG performance‐status score 1;N;N;4;;;;Table 1;
CART_001;CART_001_2;38;ECOG performance‐status score 1;N;N;70;;;;Table 1;
CART_001;CART_001_3;29;ECOG performance‐status score 1;N;N;54;;;;Table 1;
CART_001;CART_001_1;0;ECOG performance‐status score 2;N;N;4;;;;Table 1;
CART_001;CART_001_2;1;ECOG performance‐status score 2;N;N;70;;;;Table 1;
CART_001;CART_001_3;2;ECOG performance‐status score 2;N;N;54;;;;Table 1;
CART_001;CART_001_1;0;R‐ISS disease stage I;N;N;4;;;;Table 1;
CART_001;CART_001_2;12;R‐ISS disease stage I;N;N;70;;;;Table 1;
CART_001;CART_001_3;2;R‐ISS disease stage I;N;N;54;;;;Table 1;
CART_001;CART_001_1;3;R‐ISS disease stage II;N;N;4;;;;Table 1;
CART_001;CART_001_2;43;R‐ISS disease stage II;N;N;70;;;;Table 1;
CART_001;CART_001_3;44;R‐ISS disease stage II;N;N;54;;;;Table 1;
