Trial_ID;ARM_ID;TIME;TUNIT;DV;DVUNIT;TYPE;NAME;MEASURE;VARTYPE;LOWER;UPPER;Source;BL
CART_001;CART_001_1;0.032;m;0.0;%;Abs;sBCMA;median;IQR;94.5;500.4;Fig. 3A;Figure S5 C
CART_001;CART_001_1;0.066;m;-25.7;%;Abs;sBCMA;median;IQR;75.0;417.3;Fig. 3A;
CART_001;CART_001_1;0.125;m;-36.0;%;Abs;sBCMA;median;IQR;100.9;384.3;Fig. 3A;
CART_001;CART_001_1;0.210;m;-48.3;%;Abs;sBCMA;median;IQR;34.0;315.2;Fig. 3A;
CART_001;CART_001_1;0.4;m;-76.6;%;Abs;sBCMA;median;IQR;26.1;152.5;Fig. 3A;
CART_001;CART_001_1;0.5;m;-82.6;%;Abs;sBCMA;median;IQR;19.4;133.6;Fig. 3A;
CART_001;CART_001_1;0.7;m;-91.6;%;Abs;sBCMA;median;IQR;9.7;66.8;Fig. 3A;
CART_001;CART_001_1;1;m;-95.3;%;Abs;sBCMA;median;IQR;5.3;36.3;Fig. 3A;
CART_001;CART_001_1;2;m;-99.2;%;Abs;sBCMA;median;IQR;;14.6;Fig. 3A;
CART_001;CART_001_1;3;m;-99.2;%;Abs;sBCMA;median;IQR;;6.8;Fig. 3A;
CART_001;CART_001_1;4;m;-99.2;%;Abs;sBCMA;median;IQR;;7.2;Fig. 3A;
CART_001;CART_001_1;5;m;-99.2;%;Abs;sBCMA;median;IQR;;10.5;Fig. 3A;
CART_001;CART_001_1;6;m;-98.4;%;Abs;sBCMA;median;IQR;;13.3;Fig. 3A;
CART_001;CART_001_1;9;m;-96.9;%;Abs;sBCMA;median;IQR;;15.6;Fig. 3A;
CART_001;CART_001_1;12;m;-95.3;%;Abs;sBCMA;median;IQR;7.1;20.4;Fig. 3A;
CART_004;CART_004_1;0.05;m;0.00;%;Abs;sBCMA;median;;40.14;249.48;Fig. 3;
CART_004;CART_004_1;0.08;m;-34.43;%;Abs;sBCMA;median;;26.50;195.44;Fig. 3;
CART_004;CART_004_1;0.14;m;-66.15;%;Abs;sBCMA;median;;18.10;160.81;Fig. 3;
CART_004;CART_004_1;0.24;m;-91.30;%;Abs;sBCMA;median;;;69.52;Fig. 3;
CART_004;CART_004_1;0.36;m;-92.46;%;Abs;sBCMA;median;;7.61;33.84;Fig. 3;
CART_004;CART_004_1;0.48;m;-91.30;%;Abs;sBCMA;median;;6.03;22.82;Fig. 3;
CART_004;CART_004_1;0.70;m;-94.00;%;Abs;sBCMA;median;;2.89;;Fig. 3;
CART_004;CART_004_1;1;m;-99.03;%;Abs;sBCMA;median;;;6.56;Fig. 3;
CART_004;CART_004_1;2;m;-98.65;%;Abs;sBCMA;median;;;;Fig. 3;
CART_004;CART_004_1;3;m;-98.26;%;Abs;sBCMA;median;;;8.13;Fig. 3;
CART_004;CART_004_1;4;m;-97.10;%;Abs;sBCMA;median;;;8.13;Fig. 3;
CART_004;CART_004_1;5;m;-98.65;%;Abs;sBCMA;median;;;8.66;Fig. 3;
CART_004;CART_004_1;6;m;-98.26;%;Abs;sBCMA;median;;;11.80;Fig. 3;
CART_004;CART_004_1;9;m;-98.26;%;Abs;sBCMA;median;;;8.66;Fig. 3;
CART_004;CART_004_1;12;m;-83.17;%;Abs;sBCMA;median;;2.89;33.84;Fig. 3;
