Trial_ID;ARM_ID;TIME;TUNIT;DV;LLOQ;DVUNIT;NAME;MEASURE;VARTYPE;LOWER;UPPER;Source
CART_001;CART_001_1;1.6729185;d;2568.257436;;copies/μg;CART count;median;IQR;2568.257436;9930.884978;Fig. 3A
CART_001;CART_001_1;4.3191714;d;16706.73432;;copies/μg;CART count;median;IQR;16706.73432;64601.25631;Fig. 3A
CART_001;CART_001_1;6.6612573;d;82349.81931;;copies/μg;CART count;median;IQR;42610.64148;267738.5108;Fig. 3A
CART_001;CART_001_1;9.3379269;d;164765.9512;;copies/μg;CART count;median;IQR;164765.9512;466309.9676;Fig. 3A
CART_001;CART_001_1;11.3454291;d;233061.147;;copies/μg;CART count;median;IQR;233061.147;615398.7737;Fig. 3A
CART_001;CART_001_1;14.3262657;d;176598.8828;;copies/μg;CART count;median;IQR;94602.71807;615398.7737;Fig. 3A
CART_001;CART_001_1;20.987523;d;108678.7359;;copies/μg;CART count;median;IQR;108678.7359;420236.6985;Fig. 3A
CART_001;CART_001_1;30.3254499;d;39755.53391;;copies/μg;CART count;median;IQR;30124.20974;164765.9512;Fig. 3A
CART_001;CART_001_1;60.6813165;d;3162.27766;;copies/μg;CART count;median;IQR;3162.27766;24465.50682;Fig. 3A
CART_001;CART_001_1;91.3413501;d;1156.785968;;copies/μg;CART count;median;IQR;1156.785968;7268.516542;Fig. 3A
CART_001;CART_001_1;122.0013837;d;789.9331897;;copies/μg;CART count;median;IQR;521.0356866;4320.581171;Fig. 3A
CART_001;CART_001_1;152.3268336;d;343.6723387;;copies/μg;CART count;median;IQR;343.6723387;1694.008802;Fig. 3A
CART_001;CART_001_1;182.6522835;d;40.03221667;40.03221667;copies/μg;CART count;median;IQR;40.03221667;876.5386778;Fig. 3A
CART_001;CART_001_1;274.3282173;d;38.66779412;38.66779412;copies/μg;CART count;median;IQR;38.66779412;438.0929507;Fig. 3A
CART_001;CART_001_1;365.3349837;d;38.66779412;38.66779412;copies/μg;CART count;median;IQR;38.66779412;113.2965975;Fig. 3A
CART_004;CART_004_1;3.492377985;d;3481.22312;;copies/μg;CART count;median;;777.0900622;6852.50729;Fig. 3
CART_004;CART_004_1;5.779990708;d;21876.28003;;copies/μg;CART count;median;;11950.01449;64962.47304;Fig. 3
CART_004;CART_004_1;8.500931434;d;57552.45159;;copies/μg;CART count;median;;48588.60344;290976.7528;Fig. 3
CART_004;CART_004_1;11.21147607;d;88932.75484;;copies/μg;CART count;median;;61872.65044;305343.7138;Fig. 3
CART_004;CART_004_1;13.47498876;d;162780.3683;;copies/μg;CART count;median;;76908.04552;192810.8364;Fig. 3
CART_004;CART_004_1;16.17939025;d;179283.8297;;copies/μg;CART count;median;;66507.22871;283870.9508;Fig. 3
CART_004;CART_004_1;22.02435653;d;113186.0517;;copies/μg;CART count;median;;14840.20736;217473.5059;Fig. 3
CART_004;CART_004_1;30.99618366;d;18438.20933;;copies/μg;CART count;median;;3391.756169;115887.8936;Fig. 3
CART_004;CART_004_1;61.11035346;d;939.3925075;;copies/μg;CART count;median;;513.1473022;28440.65073;Fig. 3
CART_004;CART_004_1;91.31336258;d;4407.804262;;copies/μg;CART count;median;;273.0562109;58638.76736;Fig. 3
CART_004;CART_004_1;121.4691167;d;1841.68859;;copies/μg;CART count;median;;35.72986074;12751.23741;Fig. 3
CART_004;CART_004_1;182.6874478;d;440.257542;;copies/μg;CART count;median;;35.5862956;18253.82419;Fig. 3
CART_011;CART_011_1;4.011113971;d;97.28969139;;copies/μg;CART count;median;95CI;23.56758249;473.6065075;Fig. 3
CART_011;CART_011_1;7.075403172;d;9836.488657;;copies/μg;CART count;median;95CI;978.2581182;34434.42538;Fig. 3
CART_011;CART_011_1;9.356340246;d;16670.823;;copies/μg;CART count;median;95CI;1501.796122;25592.60881;Fig. 3
CART_011;CART_011_1;12.12220959;d;13234.8303;;copies/μg;CART count;median;95CI;7809.108051;16130.10638;Fig. 3
CART_011;CART_011_1;19.03523725;d;7809.108051;;copies/μg;CART count;median;95CI;5615.692788;10507.02374;Fig. 3
CART_011;CART_011_1;29.25940877;d;279.4478136;;copies/μg;CART count;median;95CI;22.80317009;473.6065075;Fig. 3
CART_011;CART_011_1;59.19465076;d;53.74155921;;copies/μg;CART count;median;95CI;23.56758249;82.50262759;Fig. 3
CART_011;CART_011_2;4.395110111;d;946.5284051;;copies/μg;CART count;median;95CI;23.56758249;3001.42136;Fig. 3
CART_011;CART_011_2;7.531810013;d;10859.24228;;copies/μg;CART count;median;95CI;5998.504092;21702.78725;Fig. 3
CART_011;CART_011_2;9.744724914;d;142149.2688;;copies/μg;CART count;median;95CI;78521.40589;303459.1512;Fig. 3
CART_011;CART_011_2;12.92750435;d;408299.1918;;copies/μg;CART count;median;95CI;89591.60216;715179.8576;Fig. 3
CART_011;CART_011_2;19.43020471;d;54634.90183;;copies/μg;CART count;median;95CI;20317.76323;112851.1442;Fig. 3
CART_011;CART_011_2;29.56989708;d;24762.51487;;copies/μg;CART count;median;95CI;946.5284051;81153.61604;Fig. 3
CART_011;CART_011_2;60.44538104;d;2545.235217;;copies/μg;CART count;median;95CI;308.5035339;3313.495584;Fig. 3
CART_011;CART_011_2;90.86006963;d;270.3839491;;copies/μg;CART count;median;95CI;135.2897569;978.2581182;Fig. 3
CART_011;CART_011_2;181.9626054;d;22.80317009;22.80317009;copies/μg;CART count;median;95CI;22.80317009;88.12667784;Fig. 3
CART_011;CART_011_2;364.9225036;d;22.80317009;22.80317009;copies/μg;CART count;median;95CI;22.80317009;;Fig. 3
