"","x"
"1","ENSG00000000938"
"2","ENSG00000003402"
"3","ENSG00000004939"
"4","ENSG00000005844"
"5","ENSG00000009790"
"6","ENSG00000010810"
"7","ENSG00000012660"
"8","ENSG00000013306"
"9","ENSG00000018280"
"10","ENSG00000026508"
"11","ENSG00000026950"
"12","ENSG00000038427"
"13","ENSG00000043462"
"14","ENSG00000048740"
"15","ENSG00000055163"
"16","ENSG00000059377"
"17","ENSG00000059728"
"18","ENSG00000059804"
"19","ENSG00000064666"
"20","ENSG00000065413"
"21","ENSG00000070190"
"22","ENSG00000074966"
"23","ENSG00000075884"
"24","ENSG00000076662"
"25","ENSG00000076770"
"26","ENSG00000081237"
"27","ENSG00000082074"
"28","ENSG00000082146"
"29","ENSG00000083223"
"30","ENSG00000083799"
"31","ENSG00000084070"
"32","ENSG00000085265"
"33","ENSG00000093134"
"34","ENSG00000095015"
"35","ENSG00000099139"
"36","ENSG00000100225"
"37","ENSG00000100503"
"38","ENSG00000100504"
"39","ENSG00000101109"
"40","ENSG00000101162"
"41","ENSG00000101265"
"42","ENSG00000101307"
"43","ENSG00000101336"
"44","ENSG00000101596"
"45","ENSG00000101916"
"46","ENSG00000102445"
"47","ENSG00000103313"
"48","ENSG00000103381"
"49","ENSG00000104765"
"50","ENSG00000105339"
"51","ENSG00000105701"
"52","ENSG00000105835"
"53","ENSG00000106780"
"54","ENSG00000107099"
"55","ENSG00000110324"
"56","ENSG00000110934"
"57","ENSG00000111052"
"58","ENSG00000111348"
"59","ENSG00000111859"
"60","ENSG00000111913"
"61","ENSG00000112096"
"62","ENSG00000112303"
"63","ENSG00000113532"
"64","ENSG00000115165"
"65","ENSG00000115232"
"66","ENSG00000115271"
"67","ENSG00000115523"
"68","ENSG00000115607"
"69","ENSG00000115828"
"70","ENSG00000115919"
"71","ENSG00000116701"
"72","ENSG00000117091"
"73","ENSG00000119535"
"74","ENSG00000119900"
"75","ENSG00000119950"
"76","ENSG00000121210"
"77","ENSG00000121807"
"78","ENSG00000122694"
"79","ENSG00000122862"
"80","ENSG00000124098"
"81","ENSG00000125810"
"82","ENSG00000126759"
"83","ENSG00000126838"
"84","ENSG00000127507"
"85","ENSG00000127954"
"86","ENSG00000129657"
"87","ENSG00000130775"
"88","ENSG00000130830"
"89","ENSG00000132297"
"90","ENSG00000132819"
"91","ENSG00000133561"
"92","ENSG00000133574"
"93","ENSG00000133606"
"94","ENSG00000134250"
"95","ENSG00000134516"
"96","ENSG00000134830"
"97","ENSG00000134954"
"98","ENSG00000135838"
"99","ENSG00000135842"
"100","ENSG00000135899"
"101","ENSG00000136040"
"102","ENSG00000136167"
"103","ENSG00000136250"
"104","ENSG00000136286"
"105","ENSG00000136732"
"106","ENSG00000136819"
"107","ENSG00000136869"
"108","ENSG00000137462"
"109","ENSG00000137575"
"110","ENSG00000137642"
"111","ENSG00000138185"
"112","ENSG00000138795"
"113","ENSG00000139668"
"114","ENSG00000140030"
"115","ENSG00000140678"
"116","ENSG00000141968"
"117","ENSG00000142405"
"118","ENSG00000143119"
"119","ENSG00000143226"
"120","ENSG00000143384"
"121","ENSG00000143546"
"122","ENSG00000143669"
"123","ENSG00000143797"
"124","ENSG00000145335"
"125","ENSG00000145416"
"126","ENSG00000145819"
"127","ENSG00000147138"
"128","ENSG00000147251"
"129","ENSG00000147416"
"130","ENSG00000147454"
"131","ENSG00000150681"
"132","ENSG00000150867"
"133","ENSG00000151651"
"134","ENSG00000151726"
"135","ENSG00000151883"
"136","ENSG00000152601"
"137","ENSG00000153310"
"138","ENSG00000154451"
"139","ENSG00000154928"
"140","ENSG00000155629"
"141","ENSG00000155849"
"142","ENSG00000155926"
"143","ENSG00000157551"
"144","ENSG00000158578"
"145","ENSG00000159023"
"146","ENSG00000159346"
"147","ENSG00000160255"
"148","ENSG00000160593"
"149","ENSG00000160883"
"150","ENSG00000162722"
"151","ENSG00000162747"
"152","ENSG00000163131"
"153","ENSG00000163162"
"154","ENSG00000163219"
"155","ENSG00000163220"
"156","ENSG00000163534"
"157","ENSG00000163563"
"158","ENSG00000163565"
"159","ENSG00000164691"
"160","ENSG00000165071"
"161","ENSG00000165168"
"162","ENSG00000165406"
"163","ENSG00000166501"
"164","ENSG00000166523"
"165","ENSG00000168785"
"166","ENSG00000169180"
"167","ENSG00000169403"
"168","ENSG00000170006"
"169","ENSG00000171049"
"170","ENSG00000171051"
"171","ENSG00000171552"
"172","ENSG00000172243"
"173","ENSG00000172322"
"174","ENSG00000172331"
"175","ENSG00000172349"
"176","ENSG00000173110"
"177","ENSG00000173200"
"178","ENSG00000173535"
"179","ENSG00000174125"
"180","ENSG00000177409"
"181","ENSG00000178562"
"182","ENSG00000180667"
"183","ENSG00000183486"
"184","ENSG00000183508"
"185","ENSG00000184014"
"186","ENSG00000184588"
"187","ENSG00000185811"
"188","ENSG00000188404"
"189","ENSG00000188906"
"190","ENSG00000188921"
"191","ENSG00000196154"
"192","ENSG00000196329"
"193","ENSG00000197081"
"194","ENSG00000197971"
"195","ENSG00000198342"
"196","ENSG00000198771"
"197","ENSG00000198821"
"198","ENSG00000198858"
"199","ENSG00000198876"
"200","ENSG00000203710"
"201","ENSG00000203747"
"202","ENSG00000204767"
"203","ENSG00000206450"
"204","ENSG00000223804"
"205","ENSG00000228299"
"206","ENSG00000233013"
"207","ENSG00000244682"
"208","ENSG00000259207"
"209","ENSG00000262418"
"210","ENSG00000264343"
"211","ENSG00000271383"
"212","ENSG00000273686"
"213","ENSG00000278545"
"214","ENSG00000283934"
"215","ENSG00000285721"
"216","ENSG00000136929"
"217","ENSG00000131018"
"218","ENSG00000127311"
"219","ENSG00000152270"
"220","ENSG00000171608"
"221","ENSG00000135362"
"222","ENSG00000117592"
"223","ENSG00000197622"
"224","ENSG00000030419"
"225","ENSG00000128383"
"226","ENSG00000100055"
"227","ENSG00000170542"
"228","ENSG00000182022"
"229","ENSG00000153179"
"230","ENSG00000064012"
"231","ENSG00000174611"
"232","ENSG00000086730"
"233","ENSG00000113916"
"234","ENSG00000175471"
"235","ENSG00000196209"
"236","ENSG00000068831"
"237","ENSG00000188042"
"238","ENSG00000118922"
"239","ENSG00000221983"
"240","ENSG00000186517"
"241","ENSG00000129675"
"242","ENSG00000176788"
"243","ENSG00000186088"
"244","ENSG00000101236"
"245","ENSG00000197043"
"246","ENSG00000165181"
"247","ENSG00000168010"
"248","ENSG00000140853"
"249","ENSG00000237094"
"250","ENSG00000160588"
"251","ENSG00000115956"
"252","ENSG00000254087"
"253","ENSG00000166046"
"254","ENSG00000186469"
"255","ENSG00000271425"
"256","ENSG00000211451"
"257","ENSG00000014257"
"258","ENSG00000088992"
"259","ENSG00000282331"
"260","ENSG00000205269"
"261","ENSG00000162946"
"262","ENSG00000180353"
"263","ENSG00000265972"
"264","ENSG00000142347"
"265","ENSG00000107262"
"266","ENSG00000091106"
"267","ENSG00000132965"
"268","ENSG00000073849"
"269","ENSG00000115935"
"270","ENSG00000197872"
"271","ENSG00000277734"
"272","ENSG00000123700"
"273","ENSG00000115415"
"274","ENSG00000135655"
"275","ENSG00000155657"
"276","ENSG00000170989"
"277","ENSG00000104714"
"278","ENSG00000228964"
"279","ENSG00000136490"
"280","ENSG00000177125"
"281","ENSG00000124731"
"282","ENSG00000115590"
"283","ENSG00000121966"
"284","ENSG00000077420"
"285","ENSG00000272419"
"286","ENSG00000181785"
"287","ENSG00000112531"
"288","ENSG00000158856"
"289","ENSG00000205176"
"290","ENSG00000150637"
"291","ENSG00000150995"
"292","ENSG00000189067"
"293","ENSG00000162511"
"294","ENSG00000090376"
"295","ENSG00000091039"
"296","ENSG00000168461"
"297","ENSG00000129355"
"298","ENSG00000168421"
"299","ENSG00000117115"
"300","ENSG00000156738"
"301","ENSG00000236334"
"302","ENSG00000079263"
"303","ENSG00000060138"
"304","ENSG00000186854"
"305","ENSG00000155099"
"306","ENSG00000137393"
"307","ENSG00000168329"
