"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000000003",1331,1279,1290,99,134,140,127,103,1474,2160
"ENSG00000000005",4,1,13,2,7,3,2,0,6,11
"ENSG00000000419",749,797,768,200,236,244,206,530,828,1207
"ENSG00000000457",973,1011,1099,770,820,837,738,876,1035,951
"ENSG00000000460",309,240,298,546,485,485,496,159,297,213
"ENSG00000000938",170,141,146,4834,4755,4386,3947,33777,142,222
"ENSG00000000971",4006,3849,4069,272,227,271,267,157,3946,3334
"ENSG00000001036",1793,1723,1884,542,444,483,501,1159,1687,2910
"ENSG00000001084",3404,3472,3464,1022,991,883,941,482,3341,2766
"ENSG00000001167",379,398,343,890,935,1001,975,1038,378,564
"ENSG00000001460",475,423,509,342,244,280,310,158,434,550
"ENSG00000001461",2040,2034,1991,1683,1651,1615,1664,1179,1968,1577
"ENSG00000001497",444,406,427,392,279,340,290,1398,392,877
"ENSG00000001561",1834,1999,1775,426,437,522,448,248,1910,1878
"ENSG00000001617",159,171,239,21,16,54,35,10,262,403
"ENSG00000001626",3823,3898,4210,1374,1874,1388,1588,51,4287,2718
"ENSG00000001629",3055,3144,2603,1611,1607,1731,1530,373,2789,1179
"ENSG00000001630",4023,4281,4171,314,339,347,365,356,4159,3001
"ENSG00000001631",1644,1757,1485,1083,1123,1125,990,594,1451,1303
"ENSG00000002016",460,497,479,371,371,303,286,400,381,446
"ENSG00000002079",1,11,9,20,31,17,19,0,7,1
"ENSG00000002330",458,418,538,129,118,131,118,936,487,794
"ENSG00000002549",2139,2242,2308,801,914,832,834,2338,2173,2703
"ENSG00000002586",1884,1735,1722,594,497,481,495,9596,1867,6039
"ENSG00000002587",122,101,146,139,128,80,88,111,177,206
"ENSG00000002726",16205,13772,16011,94,102,68,108,468,15453,34147
"ENSG00000002745",48,47,46,48,40,43,40,39,51,60
"ENSG00000002746",76,42,62,84,67,50,116,26,70,36
"ENSG00000002822",393,380,357,506,533,495,507,3128,419,184
"ENSG00000002834",11018,10561,11047,1634,1771,1397,1545,25414,10655,22931
"ENSG00000002919",410,395,346,557,597,470,544,2274,406,439
"ENSG00000002933",3302,2842,3186,105,113,83,104,2213,3389,12401
"ENSG00000003056",2621,2129,2470,2734,2959,2557,2658,8597,2441,3219
"ENSG00000003096",344,384,399,33,19,26,19,18,391,397
"ENSG00000003137",144,189,175,19,22,16,89,30,148,486
"ENSG00000003147",851,788,954,160,129,121,114,152,911,1138
"ENSG00000003249",44,45,42,32,24,22,21,322,35,148
