"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000000003",1409,1358,1366,107,144,150,137,1561
"ENSG00000000005",5,1,14,2,8,4,2,6
"ENSG00000000419",771,823,790,209,247,255,215,852
"ENSG00000000457",976,1017,1101,783,835,852,751,1037
"ENSG00000000460",314,245,303,564,501,500,512,302
"ENSG00000000938",169,140,145,4862,4784,4413,3966,140
"ENSG00000000971",4141,3990,4207,285,238,284,280,4077
"ENSG00000001036",1803,1738,1895,553,453,493,512,1695
"ENSG00000001084",3062,3133,3117,934,905,807,859,3005
"ENSG00000001167",384,404,347,914,960,1029,1001,382
"ENSG00000001460",458,409,491,334,238,274,303,418
"ENSG00000001461",1976,1976,1929,1655,1624,1589,1635,1905
"ENSG00000001497",454,416,436,406,290,353,300,400
"ENSG00000001561",1892,2067,1831,446,458,547,469,1969
"ENSG00000001617",133,144,201,18,14,46,29,219
"ENSG00000001626",3612,3694,3978,1318,1798,1332,1523,4049
"ENSG00000001629",2426,2504,2067,1299,1296,1396,1233,2214
"ENSG00000001630",4043,4315,4192,321,346,354,372,4178
"ENSG00000001631",1648,1766,1489,1102,1144,1145,1007,1454
"ENSG00000002016",464,503,483,380,381,310,293,384
"ENSG00000002079",1,11,9,19,30,17,19,7
"ENSG00000002330",465,425,546,133,121,135,122,494
"ENSG00000002549",2129,2239,2298,810,924,842,842,2163
"ENSG00000002586",1869,1728,1709,599,501,485,498,1852
"ENSG00000002587",129,108,155,151,138,86,95,188
"ENSG00000002726",15983,13624,15794,94,102,68,108,15235
"ENSG00000002745",51,49,48,51,43,47,43,54
"ENSG00000002746",80,45,65,90,72,53,124,74
"ENSG00000002822",384,373,350,503,530,492,503,410
"ENSG00000002834",10987,10562,11017,1654,1793,1415,1563,10620
"ENSG00000002919",364,352,307,502,539,424,490,360
"ENSG00000002933",3504,3025,3381,113,122,90,112,3595
"ENSG00000003056",2587,2109,2439,2742,2967,2565,2663,2409
"ENSG00000003096",360,403,418,35,20,28,21,409
"ENSG00000003137",137,180,166,18,21,15,85,140
"ENSG00000003147",829,770,930,158,128,119,113,887
"ENSG00000003249",47,47,44,34,25,24,22,36
"ENSG00000003393",1854,1937,1937,701,606,714,680,1857
"ENSG00000003400",2942,3041,2910,1636,1617,1542,1543,2689
"ENSG00000003402",10698,10446,10868,21469,21531,21657,21033,10230
"ENSG00000003436",16443,17334,16521,3314,3268,3308,3337,16976
"ENSG00000003509",419,574,558,440,441,398,422,543
"ENSG00000003756",4478,4357,4577,5492,5270,5347,5406,4327
"ENSG00000003987",215,247,249,126,190,183,119,249
"ENSG00000003989",532,528,498,37,31,40,50,540
"ENSG00000004059",1877,1780,2019,231,222,283,210,1819
"ENSG00000004139",1668,1654,1758,475,410,592,519,1575
"ENSG00000004142",1505,1503,1565,465,463,438,375,1395
"ENSG00000004399",795,551,738,306,340,244,247,699
"ENSG00000004455",3919,3880,4159,1359,1299,1209,1262,4004
"ENSG00000004468",656,585,585,578,603,355,510,515
"ENSG00000004478",900,914,868,319,339,350,319,1051
"ENSG00000004487",2393,2405,2315,859,831,817,761,2488
"ENSG00000004534",3325,3019,3395,1678,1820,1694,1670,3366
"ENSG00000004660",214,161,210,156,166,181,146,174
"ENSG00000004700",926,1084,1050,845,854,826,894,1034
"ENSG00000004766",1219,1429,1444,1004,1008,1159,980,1079
"ENSG00000004776",21,21,26,28,9,8,9,25
"ENSG00000004777",37,64,23,35,29,66,32,36
"ENSG00000004779",1375,1330,1541,196,210,223,187,1383
"ENSG00000004799",18064,19665,18058,603,701,731,675,18597
"ENSG00000004809",27,33,39,166,111,114,156,35
"ENSG00000004838",21,17,21,78,78,63,89,22
"ENSG00000004846",38,54,65,108,100,78,88,62
"ENSG00000004848",189,14,9,14,268,6,155,14
"ENSG00000004864",1868,2304,2156,381,562,534,526,2153
