Species Scientific Name	Gene Title	Gene Symbol	ENTREZ_GENE_ID
Homo sapiens	alpha-1-B glycoprotein	A1BG	1
Homo sapiens	N-acetyltransferase 2 (arylamine N-acetyltransferase)	NAT2	10
Homo sapiens	adenosine deaminase	ADA	100
Homo sapiens	"cadherin 2, type 1, N-cadherin (neuronal)"	CDH2	1000
Homo sapiens	v-akt murine thymoma viral oncogene homolog 3	AKT3	10000
Homo sapiens	ZBTB11 antisense RNA 1	ZBTB11-AS1	100009676
Homo sapiens	mediator complex subunit 6	MED6	10001
Homo sapiens	"nuclear receptor subfamily 2, group E, member 3"	NR2E3	10002
Homo sapiens	N-acetylated alpha-linked acidic dipeptidase 2	NAALAD2	10003
Homo sapiens	N-acetylated alpha-linked acidic dipeptidase-like 1	NAALADL1	10004
Homo sapiens	CDKN2B antisense RNA 1	CDKN2B-AS1	100048912
Homo sapiens	uncharacterized LOC100049716	LOC100049716	100049716
Homo sapiens	acyl-CoA thioesterase 8	ACOT8	10005
Homo sapiens	abl-interactor 1	ABI1	10006
Homo sapiens	glucosamine-6-phosphate deaminase 1	GNPDA1	10007
Homo sapiens	"potassium voltage-gated channel, Isk-related family, member 3"	KCNE3	10008
Homo sapiens	zinc finger and BTB domain containing 33	ZBTB33	10009
Homo sapiens	"cadherin 3, type 1, P-cadherin (placental)"	CDH3	1001
Homo sapiens	TRAF family member-associated NFKB activator	TANK	10010
Homo sapiens	hepatitis A virus cellular receptor 1 pseudogene 1	HAVCR1P1	100101266
Homo sapiens	zinc finger and SCAN domain containing 30	ZSCAN30	100101467
Homo sapiens	ankyrin repeat domain 26 pseudogene 3	ANKRD26P3	100101938
Homo sapiens	steroid receptor RNA activator 1	SRA1	10011
Homo sapiens	long intergenic non-protein coding RNA 577	LINC00577	100113403
Homo sapiens	transmembrane protein 170B	TMEM170B	100113407
Homo sapiens	HOX transcript antisense RNA	HOTAIR	100124700
Homo sapiens	"zinc finger, GATA-like protein 1"	ZGLP1	100125288
Homo sapiens	uncharacterized LOC100126784	LOC100126784	100126784
Homo sapiens	eosinophil granule ontogeny transcript (non-protein coding)	EGOT	100126791
Homo sapiens	SLCO4A1 antisense RNA 1	SLCO4A1-AS1	100127888
Homo sapiens	HECW1 intronic transcript 1 (non-protein coding)	HECW1-IT1	100127950
Homo sapiens	chromosome 8 open reading frame 88	C8orf88	100127983
Homo sapiens	WWTR1 antisense RNA 1	WWTR1-AS1	100128025
Homo sapiens	"family with sequence similarity 229, member A"	FAM229A	100128071
Homo sapiens	uncharacterized LOC100128079	LOC100128079	100128079
Homo sapiens	JAZF1 antisense RNA 1	JAZF1-AS1	100128081
Homo sapiens	ST8SIA6 antisense RNA 1	ST8SIA6-AS1	100128098
Homo sapiens	uncharacterized LOC100128108	LOC100128108	100128108
Homo sapiens	uncharacterized LOC100128124	HGC6.3	100128124
Homo sapiens	STAU2 antisense RNA 1	STAU2-AS1	100128126
Homo sapiens	long intergenic non-protein coding RNA 1233	LINC01233	100128139
Homo sapiens	four and a half LIM domains 1 pseudogene	LOC100128164	100128164
Homo sapiens	uncharacterized LOC100128176	LOC100128176	100128176
Homo sapiens	TMPO antisense RNA 1	TMPO-AS1	100128191
Homo sapiens	uncharacterized LOC100128239	LOC100128239	100128239
Homo sapiens	ZNF667 antisense RNA 1 (head to head)	ZNF667-AS1	100128252
Homo sapiens	TNK2 antisense RNA 1	TNK2-AS1	100128262
Homo sapiens	DNM1 pseudogene 35	DNM1P35	100128285
Homo sapiens	uncharacterized LOC100128288	LOC100128288	100128288
Homo sapiens	DLG5 antisense RNA 1	DLG5-AS1	100128292
Homo sapiens	uncharacterized LOC100128325	LOC100128325	100128325
Homo sapiens	trafficking protein particle complex 3-like	TRAPPC3L	100128327
Homo sapiens	long intergenic non-protein coding RNA 892	LINC00892	100128420
Homo sapiens	chromosome 20 open reading frame 78	C20orf78	100128496
Homo sapiens	NEBL antisense RNA 1	NEBL-AS1	100128511
Homo sapiens	uncharacterized LOC100128554	LOC100128554	100128554
Homo sapiens	SLC8A1 antisense RNA 1	SLC8A1-AS1	100128590
Homo sapiens	uncharacterized LOC100128594	LL0XNC01-116E7.2	100128594
Homo sapiens	ACVR2B antisense RNA 1	ACVR2B-AS1	100128640
Homo sapiens	uncharacterized LOC100128653	LOC100128653	100128653
Homo sapiens	oligosaccharyltransferase 4 homolog (S. cerevisiae)	OST4	100128731
Homo sapiens	RBPMS antisense RNA 1	RBPMS-AS1	100128750
Homo sapiens	SRRM2 antisense RNA 1	SRRM2-AS1	100128788
Homo sapiens	long intergenic non-protein coding RNA 1003	LINC01003	100128822
Homo sapiens	long intergenic non-protein coding RNA 1165	LINC01165	100128830
Homo sapiens	VPS9D1 antisense RNA 1	VPS9D1-AS1	100128881
Homo sapiens	GATA6 antisense RNA 1 (head to head)	GATA6-AS1	100128893
Homo sapiens	zinc finger and BTB domain containing 42	ZBTB42	100128927
Homo sapiens	long intergenic non-protein coding RNA 1310	LINC01310	100128946
Homo sapiens	MAPT antisense RNA 1	MAPT-AS1	100128977
Homo sapiens	uncharacterized LOC100128988	LOC100128988	100128988
Homo sapiens	uncharacterized LOC100128993	LOC100128993	100128993
Homo sapiens	chromosome 20 open reading frame 181	C20orf181	100128998
Homo sapiens	uncharacterized LOC100129034	LOC100129034	100129034
Homo sapiens	WAS/WASL-interacting protein family member 1-like	LOC100129098	100129098
Homo sapiens	uncharacterized LOC100129129	LOC100129129	100129129
Homo sapiens	uncharacterized LOC100129175	LOC100129175	100129175
