geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
hsa04110	Cell cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04110+1019+1022+1029+1030+10459+10926+10971+1111+11200+1869+1871+1874+1875+23594+23595+25+29882+3065+3066+4085+4171+4172+4173+4174+4175+4176+4609+4998+4999+5111+51434+51529+5347+545+5591+5933+595+6502+699+701+7027+7272+7529+7532+8317+8318+8379+8555+8697+8881+890+891+898+9088+9184+9232+9700+983+990+991+993+994+995+996+9978	122	65	37.96043165467626	1.7123092959348052	2.466628279407246e-7	7.255944832373906e-5	1019;1022;1029;1030;10459;10926;10971;1111;11200;1869;1871;1874;1875;23594;23595;25;29882;3065;3066;4085;4171;4172;4173;4174;4175;4176;4609;4998;4999;5111;51434;51529;5347;545;5591;5933;595;6502;699;701;7027;7272;7529;7532;8317;8318;8379;8555;8697;8881;890;891;898;9088;9184;9232;9700;983;990;991;993;994;995;996;9978
hsa03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?hsa03030+10535+1763+2237+23649+29935+3978+4171+4172+4173+4174+4175+4176+5111+54107+5422+5424+5425+5426+5427+5557+5982+5983+5984+6118+6119+84153	36	26	11.201438848920864	2.321130378933847	4.478978291588831e-7	7.255944832373906e-5	10535;1763;2237;23649;29935;3978;4171;4172;4173;4174;4175;4176;5111;54107;5422;5424;5425;5426;5427;5557;5982;5983;5984;6118;6119;84153
hsa03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03050+10197+10213+11047+51371+5682+5683+5686+5688+5689+5690+5691+5692+5693+5694+5695+5700+5704+5705+5706+5707+5708+5709+5710+5713+5714+5717+5718+5719+7979+9491	45	30	14.00179856115108	2.142581888246628	9.281088690915595e-7	1.0023575786188843e-4	10197;10213;11047;51371;5682;5683;5686;5688;5689;5690;5691;5692;5693;5694;5695;5700;5704;5705;5706;5707;5708;5709;5710;5713;5714;5717;5718;5719;7979;9491
hsa03410	Base excision repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03410+10038+2237+23583+252969+27301+27343+3146+328+3978+3980+4350+4595+4913+4968+5111+54107+5424+5425+5426+5427+55247+7374+7515	32	23	9.956834532374101	2.309971098265896	2.423746517044023e-6	1.9632346788056587e-4	10038;2237;23583;252969;27301;27343;3146;328;3978;3980;4350;4595;4913;4968;5111;54107;5424;5425;5426;5427;55247;7374;7515
hsa03440	Homologous recombination	http://www.kegg.jp/kegg-bin/show_pathway?hsa03440+11073+25788+29086+29935+4361+4683+51720+5424+5425+580+5888+5890+5892+6118+6119+641+672+675+7517+79728+7979+80198+83990+8438+8940+9577	41	26	12.757194244604317	2.0380656985760606	1.943142150995225e-5	0.001259156113844906	11073;25788;29086;29935;4361;4683;51720;5424;5425;580;5888;5890;5892;6118;6119;641;672;675;7517;79728;7979;80198;83990;8438;8940;9577
hsa05212	Pancreatic cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05212+1019+1029+10928+1869+1871+1956+2064+207+208+2475+3551+3716+51426+5293+5296+5594+5599+5601+5604+581+5879+5888+5894+5898+5899+5900+595+598+6198+6199+673+675+6772+6774+7422+8503+8517+9459+998	72	39	22.402877697841728	1.7408477842003853	3.794932703771181e-5	0.0018471268413262948	1019;1029;10928;1869;1871;1956;2064;207;208;2475;3551;3716;51426;5293;5296;5594;5599;5601;5604;581;5879;5888;5894;5898;5899;5900;595;598;6198;6199;673;675;6772;6774;7422;8503;8517;9459;998
hsa04150	mTOR signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04150+10542+10641+127124+1855+1856+1978+201163+207+208+245973+2475+253260+2535+2885+2887+28956+3265+3479+3551+4041+51256+525+528+5293+5296+54468+54541+55004+55615+5578+5582+5594+5604+5605+5728+57521+5894+6009+6195+6196+6197+6198+6199+6396+64121+64223+6446+6502+6520+6654+673+6794+7472+7474+7476+7478+7482+79726+7976+8131+8140+8323+8326+84219+84335+8503+90423+96459+9675+9894	150	70	46.672661870503596	1.4998073217726398	3.990706138667921e-5	0.0018471268413262948	10542;10641;127124;1855;1856;1978;201163;207;208;245973;2475;253260;2535;2885;2887;28956;3265;3479;3551;4041;51256;525;528;5293;5296;54468;54541;55004;55615;5578;5582;5594;5604;5605;5728;57521;5894;6009;6195;6196;6197;6198;6199;6396;64121;64223;6446;6502;6520;6654;673;6794;7472;7474;7476;7478;7482;79726;7976;8131;8140;8323;8326;84219;84335;8503;90423;96459;9675;9894
hsa03018	RNA degradation	http://www.kegg.jp/kegg-bin/show_pathway?hsa03018+10766+11044+11157+11340+2023+219988+22803+23016+23404+23644+23658+255967+25804+25904+26986+27258+28960+3329+4848+5042+5073+51010+51690+51691+5211+5213+5214+5394+54512+54766+55802+56915+57472+57819+64282+6499+80153+80336+80349+87178+9125	78	41	24.269784172661872	1.6893434118867643	6.107578835956584e-5	0.002293306311515586	10766;11044;11157;11340;2023;219988;22803;23016;23404;23644;23658;255967;25804;25904;26986;27258;28960;3329;4848;5042;5073;51010;51690;51691;5211;5213;5214;5394;54512;54766;55802;56915;57472;57819;64282;6499;80153;80336;80349;87178;9125
hsa03020	RNA polymerase	http://www.kegg.jp/kegg-bin/show_pathway?hsa03020+10621+10623+11128+221830+25885+30834+51082+5431+5432+5433+5434+5435+5436+5437+5438+5439+5440+64425+661+9533	30	20	9.33453237410072	2.142581888246628	6.370295309765517e-5	0.002293306311515586	10621;10623;11128;221830;25885;30834;51082;5431;5432;5433;5434;5435;5436;5437;5438;5439;5440;64425;661;9533
hsa04012	ErbB signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04012+10298+1399+1956+1978+2064+207+208+2475+25+2885+3265+3725+4609+4690+5058+5293+5296+5335+5336+5578+5582+5594+5599+5601+5604+5605+56924+5747+5894+6198+6199+6464+6654+6714+673+6776+6777+815+817+8440+8503+867+868	84	43	26.136690647482016	1.645196807046518	9.192303572080895e-5	0.00297830635735421	10298;1399;1956;1978;2064;207;208;2475;25;2885;3265;3725;4609;4690;5058;5293;5296;5335;5336;5578;5582;5594;5599;5601;5604;5605;56924;5747;5894;6198;6199;6464;6654;6714;673;6776;6777;815;817;8440;8503;867;868
