"","Correlation","Gene"
"2",-0.112603854570985,"TNMD"
"3",0.798006654844794,"DPM1"
"4",0.665850110067392,"SCYL3"
"5",0.924209534781498,"C1orf112"
"6",0.336947521861351,"FGR"
"7",0.7809794143585,"CFH"
"8",0.922872068305989,"FUCA2"
"9",0.943396105860415,"GCLC"
"10",0.890716825298854,"NFYA"
"11",0.717907412034719,"STPG1"
"12",0.287012523670668,"NIPAL3"
"13",0.630191408388988,"LAS1L"
"14",0.877098286292798,"ENPP4"
"15",0.687568090049187,"SEMA3F"
"16",0.918045480312123,"CFTR"
"17",0.603099513580686,"ANKIB1"
"18",0.714209469226337,"CYP51A1"
"19",0.53001056788777,"KRIT1"
"20",0.290458195503426,"RAD52"
"21",0.442723798825548,"BAD"
"22",0.778471266950318,"LAP3"
"23",0.858333259762469,"HS3ST1"
"24",0.97264651921863,"AOC1"
"26",0.674633637386729,"HECW1"
"27",0.73090665271708,"MAD1L1"
"28",0.779869106664072,"LASP1"
"29",0.387729188710885,"SNX11"
"30",0.8241286896808,"TMEM176A"
"31",0.826541744242627,"M6PR"
"32",0.406950639864382,"KLHL13"
"33",0.55996190094518,"CYP26B1"
"34",0.93711059410993,"ICA1"
"35",0.0156939683346911,"DBNDD1"
"36",0.853163525728558,"ALS2"
"37",0.658231929794266,"CASP10"
"38",0.314351912596741,"CFLAR"
"39",0.849080244926668,"TFPI"
"40",0.285122548630854,"NDUFAF7"
"41",0.615083603322258,"RBM5"
"42",0.902793572547854,"MTMR7"
"43",0.888251577147581,"SLC7A2"
"44",0.300173993343042,"ARF5"
"45",0.491864608423569,"SARM1"
"46",0.801379774223809,"POLDIP2"
"47",0.627669400909007,"PLXND1"
"48",0.454457567569928,"AK2"
"49",0.748314127819548,"CD38"
"50",0.909605724805023,"FKBP4"
"51",0.770897073670303,"KDM1A"
"52",0.373891042694936,"RBM6"
"53",0.622543966030359,"CAMKK1"
"54",0.690892977882962,"RECQL"
"55",0.721757311954454,"VPS50"
"56",0.334937288998986,"HSPB6"
"57",-0.00741268801495982,"ARHGAP33"
"58",0.890038748749671,"NDUFAB1"
"59",0.817128579235642,"PDK4"
"60",-0.169595426261467,"SLC22A16"
"61",0.324318971361897,"ZMYND10"
"62",0.967586775995973,"ABCB5"
"63",0.28492041286645,"ARX"
"64",0.825772462214614,"SLC25A13"
"65",0.442673444303192,"ST7"
"66",0.819714024038484,"CDC27"
"67",0.447670574392088,"SLC4A1"
"68",0.798617176794331,"CALCR"
"69",0.731737114559918,"HCCS"
"70",0.858856445145123,"DVL2"
"71",0.989557122528948,"PRSS22"
"72",0.968386638653337,"UPF1"
"73",0.632264176030302,"SKAP2"
"74",0.682521462054088,"SLC25A5"
"75",0.590802434794789,"CCDC109B"
"76",-0.114405748545635,"HOXA11"
"77",0.47281428135362,"POLR2J"
"78",0.513673054793665,"DHX33"
"79",0.596095849962577,"MEOX1"
"80",0.8236366162408,"THSD7A"
"81",0.683263833326335,"LIG3"
"82",0.715702399537641,"RPAP3"
"83",0.745071043997004,"ACSM3"
"84",0.657489424883187,"AC004381.6"
"85",0.678041307390563,"CIAPIN1"
"86",-0.0626593381036395,"SPPL2B"
"87",0.316672773253147,"FAM214B"
"88",0.230918346836653,"COPZ2"
"89",0.18152813323073,"PRKAR2B"
"90",0.472052165995057,"MSL3"
"91",0.313646270055488,"CREBBP"
"92",-0.00697133065135403,"BZRAP1"
"93",0.563551468514665,"MPO"
"94",0.81037718436645,"PON1"
"95",0.917696640088084,"GCFC2"
"96",0.730797491578141,"WDR54"
"97",0.923404642732172,"CROT"
"98",0.77671104595928,"ABCB4"
"99",0.725163452304928,"KMT2E"
"100",0.233848382103954,"RHBDD2"
"101",-0.367319543332695,"SOX8"
"102",0.663471743342397,"IBTK"
"103",0.663887849894501,"ZNF195"
"104",0.619816988349163,"MYCBP2"
"105",0.708358196284757,"FBXL3"
"106",0.715741757071283,"ITGAL"
"107",0.527949742520891,"PDK2"
"108",0.991572538967584,"ITGA3"
"109",0.784123904789853,"ZFX"
"110",0.819409627479781,"LAMP2"
"111",0.616603238599894,"ITGA2B"
