"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA6",473.990531351955,2.37803719745181,0.295881217445527,8.037134692031,9.19635639006152e-16,4.03115022076986e-13
"PBK",18.2705374343993,3.89966753907512,0.509764210627843,7.64994375394097,2.01067240926874e-14,7.61176598208851e-12
"PPP1CC",344.588458719514,1.23594458328466,0.162631432652754,7.59966608622095,2.96895819386737e-14,1.07508557902715e-11
"CENPF",163.023736549699,3.30956725326035,0.436468832249969,7.58259698911316,3.38705704578376e-14,1.17537935857542e-11
"GPC3",2950.58498986307,4.96770884998136,0.655733052168545,7.5758097499476,3.56894496807864e-14,1.21322278231196e-11
"RAB3B",94.7674267261124,4.07816002589873,0.538638781493888,7.57123357250319,3.69696643735402e-14,1.23160739894012e-11
"CCNB1",57.3270055529822,3.33781199712102,0.447142975623404,7.46475328717278,8.34558322152666e-14,2.6228750890749e-11
"ECT2",78.8621944142824,3.13338500161191,0.419964169366824,7.46107699220169,8.58180828329851e-14,2.63487707104347e-11
"AKR1C3",139.19694722202,2.71601059302952,0.364615033550305,7.4489813724447,9.40636502386202e-14,2.79788968218696e-11
"CGREF1",85.2219073017089,2.71505031103684,0.374432127321255,7.2511147226087,4.13355369631145e-13,1.04322127150697e-10
"ANLN",71.5983854163214,3.33845248791812,0.472527449918211,7.06509746364147,1.60503300710638e-12,3.66233353416041e-10
"TMEM106C",155.28751938607,2.06609070149061,0.294285883361572,7.02069252486749,2.20771218755203e-12,4.9694407983857e-10
"S100P",81.9412383310532,5.05501190770484,0.72055166969835,7.01547455968156,2.29169764986106e-12,5.08970770049808e-10
"FLVCR1",160.994528785537,2.6931328317283,0.385043951608427,6.99435173693392,2.664882250472e-12,5.84065047975158e-10
"ASPM",163.875675593347,3.50985922844147,0.502714432439214,6.98181512595794,2.91390423951436e-12,6.2930280855393e-10
"HIST1H3B",169.686197421446,3.15330255752556,0.457264170938219,6.89601932085688,5.34799250599786e-12,1.0480177784989e-09
"ACLY",526.127105652236,1.649245541418,0.239448255195431,6.88769078760641,5.67052970074619e-12,1.09830247936429e-09
"CA12",85.1377491754215,4.50571850218477,0.656070231008323,6.86773807014513,6.5227841796004e-12,1.24885075953568e-09
"CDK1",55.3873738071964,3.52542620642111,0.514876452484767,6.84713039294687,7.53460378048526e-12,1.42618062694935e-09
"MKI67",160.930306942529,2.65785040790216,0.388460724263739,6.84200548958884,7.80920953623509e-12,1.42942860708866e-09
"EPRS",497.850225358275,1.6762824500249,0.245602373553284,6.82518831464479,8.78100521757708e-12,1.57274412805571e-09
"ACSL4",1554.14385562357,4.23859649227258,0.622980594458426,6.80373759628469,1.01939144834767e-11,1.75051580980692e-09
"HIST1H2AH",46.9077371628832,3.17813454253277,0.468763100803579,6.77983087210714,1.20316647158926e-11,2.02480400595818e-09
"PDCD10",99.4082334690914,1.73218399254422,0.256204103670124,6.7609533482512,1.3708666414433e-11,2.26084412341793e-09
"NUSAP1",76.6326875338148,2.94590043339295,0.435827737711801,6.75932295833125,1.38638051817126e-11,2.26401375403712e-09
"NRAS",246.039287624596,1.52794995520224,0.227080881750008,6.72865960105069,1.7123311046106e-11,2.70887226473217e-09
"CCNA2",49.9478408180594,3.08981413302797,0.463488806528873,6.66642665260457,2.62106584388393e-11,3.8297450668048e-09
"SMC4",181.33475725269,1.62720213895266,0.245236146238859,6.63524592075333,3.23961956230698e-11,4.57307991943621e-09
"TCF19",40.6671688923346,2.26048247331817,0.343022360163355,6.58989831520511,4.40127911040256e-11,6.0588517472707e-09
"SPC24",27.2735021393977,2.15643025660406,0.327936732388,6.57575088005899,4.8408245892482e-11,6.50271366305521e-09
"KIF5B",569.534974600273,1.02264246221089,0.155517216313146,6.57575081688526,4.84082664476704e-11,6.50271366305521e-09
"SQLE",531.48105194725,2.75061799815957,0.419440129886765,6.55783222006474,5.459558384259e-11,7.21744952433351e-09
"SUCO",353.268821381566,2.18261443223814,0.334015991143448,6.53446089442102,6.38390717049126e-11,8.30755794834944e-09
"ELOVL2",703.230188838467,2.70963994586967,0.415818648899268,6.51639832182244,7.20155854492867e-11,9.29894268859511e-09
"PPARG",124.089733181034,1.73488004011743,0.266878747697449,6.50063017413511,7.99842427396544e-11,1.01702101627055e-08
"FAM3B",118.484346673385,4.18633466318554,0.645727211471088,6.48313186871634,8.98379108757256e-11,1.10846672700516e-08
"CALU",483.176486062081,1.26247727028768,0.195907488949238,6.44425221852954,1.16171755988589e-10,1.38219495678709e-08
"XPOT",241.013245208854,1.5910220331557,0.248301274230431,6.40762733935544,1.47801630213849e-10,1.72163059753293e-08
"EXO1",19.9363625991179,3.03277022629771,0.474256154154085,6.39479361465992,1.60764349219246e-10,1.85961928121179e-08
"HLTF",235.230531986342,1.66924347852868,0.261232489017673,6.38987702029569,1.66019219483393e-10,1.88564875477955e-08
"CCL20",77.6026848430346,4.01219045057131,0.628609553346454,6.3826431354918,1.74057205411375e-10,1.93284724702484e-08
