"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CGREF1",52.1711999692935,3.82592145988158,0.47657427443471,8.02796471634923,9.9102971175748e-16,5.53470273422318e-13
"HIST1H3B",292.788866735248,3.30317940017469,0.446397328164055,7.39963971952975,1.36554476679367e-13,5.60756942175683e-11
"SLC26A6",81.1131635189797,2.6347970846457,0.367574770263051,7.16805748871212,7.60693610299161e-13,2.4699544620923e-10
"GPC3",7131.33714105071,5.54840543046404,0.776669556453194,7.14384307246684,9.07570095274685e-13,2.80516741114767e-10
"HIST1H3C",141.578702607873,3.02734724135469,0.426185582664407,7.10335441764234,1.21764606887195e-12,3.33348517913532e-10
"CENPF",161.881300109861,3.26907197395562,0.481672644772442,6.78691640356707,1.14555540031372e-11,2.49910070299691e-09
"CCT3",1674.85885244,1.13661798121803,0.170058789843061,6.6836767582961,2.33020490607531e-11,4.45675628748268e-09
"KIFC1",42.9837512880622,3.78925675782816,0.574457371757346,6.59623662977165,4.21725637686454e-11,7.26930043626946e-09
"TOP2A",345.709081764249,3.12103045223851,0.473741876952966,6.58804003630097,4.45670485071948e-11,7.49692929225847e-09
"DKK1",133.085546334629,5.70337262543714,0.877876237617721,6.49678437693484,8.20549343931093e-11,1.31684022298459e-08
"IQGAP3",54.4200882934527,3.91238091705922,0.607452841808291,6.44063316160095,1.18976118253689e-10,1.78617694952473e-08
"ACSL4",1822.76832706295,3.78200379730584,0.587359104493517,6.43899748615811,1.20265192248305e-10,1.78632192996897e-08
"RAD51AP1",10.773798780181,4.13900606270863,0.651624693326496,6.35182506908894,2.1277521040175e-10,2.94135394814775e-08
"UBE2C",34.4760934586706,3.84456978035318,0.605151863330709,6.35306608690414,2.11064982802508e-10,2.94135394814775e-08
"AFP",4333.6200587292,7.48889747588572,1.18421795220257,6.32391821282296,2.55012735877085e-10,3.49067433168222e-08
"FLVCR1",81.2559563442521,2.8388622057742,0.450640253838325,6.2996196668944,2.98376868622102e-10,4.00570946125172e-08
"NUSAP1",112.891338493202,2.56742428980044,0.415251659526466,6.18281524203471,6.2968396709524e-10,7.75050705000102e-08
"NELFE",225.180031805776,1.66500315294864,0.271836135480233,6.12502510016633,9.06693120389405e-10,1.05493744557307e-07
"AURKB",15.6958842066853,4.43588791222912,0.724631239123958,6.12157973977478,9.2652131278721e-10,1.06909839414339e-07
"TMEM106C",52.0672404714029,2.34539733661993,0.389793369308379,6.01702727981604,1.7764915296854e-09,1.93776365136465e-07
"MCM4",262.771812811045,1.67836662305951,0.279161753720653,6.01216535105661,1.83061456755183e-09,1.98132097613632e-07
"CCNA2",52.3592414326563,3.38880688899048,0.569009664985883,5.95562272052893,2.59083397362465e-09,2.71979127366521e-07
"PEG10",1212.6393723131,5.86689829701863,0.987835028333646,5.93914786248809,2.86507372334423e-09,2.96312291298756e-07
"CCNB1",124.936866628955,3.09334799823996,0.525708596470007,5.88414954408386,4.00105956753965e-09,3.99019954871347e-07
"ACLY",736.049915076082,1.45203038888327,0.246927575878118,5.8803897609232,4.09301531252366e-09,4.05295601372023e-07
"HIST1H1B",150.920264446298,3.24662695071794,0.555000966986714,5.84976809742326,4.92258846028123e-09,4.7405000216328e-07
"E2F8",8.40038470429113,4.7464379406606,0.812788963202627,5.83969290374987,5.22971312963162e-09,4.96716018475624e-07
"PHPT1",209.061408407323,1.48506557703466,0.255691659921253,5.80803291547336,6.32110915511199e-09,5.84472357772673e-07
"CA12",46.14280660523,4.62698075372213,0.796884319625001,5.80633931396655,6.38534943587635e-09,5.86527952787537e-07
"STC2",17.8987355999703,4.88077333433949,0.843396626299787,5.78704393892679,7.16358456259476e-09,6.49467322486676e-07
"UCK2",100.591665395214,1.97527212311709,0.344489606451482,5.73390919820186,9.81418861205773e-09,8.61796864160692e-07
"MMP11",117.656364153325,4.33557677176125,0.75730302134338,5.72502241450241,1.03420085473918e-08,9.0246952086678e-07
"SLC50A1",226.661136033499,1.83285823513822,0.320435306310701,5.71990101914999,1.06586126355505e-08,9.18614503812072e-07
"SQLE",657.136759783976,2.50392198343714,0.439037807837848,5.70320354815985,1.17576438157637e-08,9.88917005757184e-07
"DSCC1",18.8672707955098,3.28099421505326,0.576706535248305,5.68919201451499,1.2764187802162e-08,1.06714724607057e-06
