From	To	Species	Gene Name
YIBA	948108	Escherichia coli str. K-12 substr. MG1655	putative lyase containing HEAT-repeat(yibA)
AMPC	948669	Escherichia coli str. K-12 substr. MG1655	beta-lactamase(ampC)
PITA	948009	Escherichia coli str. K-12 substr. MG1655	metal phosphate:H(+) symporter PitA(pitA)
YHGE	947651	Escherichia coli str. K-12 substr. MG1655	putative transport protein YhgE(yhgE)
MUTM	946765	Escherichia coli str. K-12 substr. MG1655	DNA-formamidopyrimidine glycosylase(mutM)
RTCB	947929	Escherichia coli str. K-12 substr. MG1655	RNA-splicing ligase(rtcB)
ELBB	947903	Escherichia coli str. K-12 substr. MG1655	low activity glyoxalase ElbB(elbB)
YBBY	945131	Escherichia coli str. K-12 substr. MG1655	putative purine transporter(ybbY)
NIRD	947881	Escherichia coli str. K-12 substr. MG1655	nitrite reductase (NADH) small subunit(nirD)
YTFK	948736	Escherichia coli str. K-12 substr. MG1655	stringent response modulator YtfK(ytfK)
YHFZ	947897	Escherichia coli str. K-12 substr. MG1655	putative DNA-binding transcriptional regulator YhfZ(yhfZ)
RDLD	2847731	Escherichia coli str. K-12 substr. MG1655	ncRNA(rdlD)
ADEQ	948174	Escherichia coli str. K-12 substr. MG1655	adenine transporter(adeQ)
XYLF	948090	Escherichia coli str. K-12 substr. MG1655	xylose ABC transporter periplasmic binding protein(xylF)
TOLA	946625	Escherichia coli str. K-12 substr. MG1655	Tol-Pal system protein TolA(tolA)
RTCR	947928	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional activator RtcR(rtcR)
YJCF	948576	Escherichia coli str. K-12 substr. MG1655	pentapeptide repeat-containing protein YjcF(yjcF)
INSJ	948082	Escherichia coli str. K-12 substr. MG1655	insertion element IS150 protein InsA(insJ)
RHSD	945116	Escherichia coli str. K-12 substr. MG1655	protein RhsD(rhsD)
RHSA	948120	Escherichia coli str. K-12 substr. MG1655	rhs element protein RhsA(rhsA)
GLCA	947259	Escherichia coli str. K-12 substr. MG1655	glycolate/lactate:H(+) symporter GlcA(glcA)
CHIA	947837	Escherichia coli str. K-12 substr. MG1655	endochitinase(chiA)
DCTR	948021	Escherichia coli str. K-12 substr. MG1655	putative DNA-binding transcriptional regulator DctR(dctR)
RHSB	947994	Escherichia coli str. K-12 substr. MG1655	rhs element protein RhsB(rhsB)
YBBC	945115	Escherichia coli str. K-12 substr. MG1655	PF15631 family protein YbbC(ybbC)
GMK	948163	Escherichia coli str. K-12 substr. MG1655	guanylate kinase(gmk)
FSR	945119	Escherichia coli str. K-12 substr. MG1655	fosmidomycin efflux pump(fsr)
YHEV	1450290	Escherichia coli str. K-12 substr. MG1655	DUF2387 domain-containing protein YheV(yheV)
ARRS	11115378	Escherichia coli str. K-12 substr. MG1655	ncRNA(arrS)
