userId	geneSymbol	geneName	entrezgene	gLink
10	NAT2	N-acetyltransferase 2	10	https://www.ncbi.nlm.nih.gov/gene/?term=10
100	ADA	adenosine deaminase	100	https://www.ncbi.nlm.nih.gov/gene/?term=100
100009676	ZBTB11-AS1	ZBTB11 antisense RNA 1	100009676	https://www.ncbi.nlm.nih.gov/gene/?term=100009676
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	10003	https://www.ncbi.nlm.nih.gov/gene/?term=10003
10007	GNPDA1	glucosamine-6-phosphate deaminase 1	10007	https://www.ncbi.nlm.nih.gov/gene/?term=10007
1001	CDH3	cadherin 3	1001	https://www.ncbi.nlm.nih.gov/gene/?term=1001
100101266	HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1	100101266	https://www.ncbi.nlm.nih.gov/gene/?term=100101266
100113403	LIN28B-AS1	LIN28B antisense RNA 1	100113403	https://www.ncbi.nlm.nih.gov/gene/?term=100113403
100125288	ZGLP1	zinc finger, GATA-like protein 1	100125288	https://www.ncbi.nlm.nih.gov/gene/?term=100125288
100127888	SLCO4A1-AS1	SLCO4A1 antisense RNA 1	100127888	https://www.ncbi.nlm.nih.gov/gene/?term=100127888
100127983	C8orf88	chromosome 8 open reading frame 88	100127983	https://www.ncbi.nlm.nih.gov/gene/?term=100127983
100128124	HGC6.3	uncharacterized LOC100128124	100128124	https://www.ncbi.nlm.nih.gov/gene/?term=100128124
100128191	TMPO-AS1	TMPO antisense RNA 1	100128191	https://www.ncbi.nlm.nih.gov/gene/?term=100128191
100128325	LOC100128325	uncharacterized LOC100128325	100128325	https://www.ncbi.nlm.nih.gov/gene/?term=100128325
100128327	TRAPPC3L	trafficking protein particle complex 3 like	100128327	https://www.ncbi.nlm.nih.gov/gene/?term=100128327
100128420	LINC00892	long intergenic non-protein coding RNA 892	100128420	https://www.ncbi.nlm.nih.gov/gene/?term=100128420
100128640	ACVR2B-AS1	ACVR2B antisense RNA 1	100128640	https://www.ncbi.nlm.nih.gov/gene/?term=100128640
